id,n,e,Z,Color,shape
1,7174083.438,1202595.728,0,green,26
2,7173709.375,1202595.728,0,green,23
3,7173709.375,1202625.375,0,green,22
4,7173709.375,1202447.228,0,green,23
5,7173709.375,1202773.875,0,green,22
6,7174083.438,1202773.875,0,green,27
7,7174083.438,1202625.375,0,green,27
8,7174083.438,1202447.228,0,green,26
9,7174083.438,1202952.128,0,green,28
10,7173709.375,1202952.075,0,green,21
11,7173709.375,1203100.575,0,green,21
12,7174083.438,1203100.628,0,green,28
13,7174083.438,1203249.128,0,green,28
14,7173709.375,1203249.075,0,green,21
15,7173709.375,1202269.028,0,green,24
16,7173709.375,1202120.528,0,green,24
17,7173709.375,1201972.028,0,green,24
18,7174083.438,1202269.028,0,green,25
19,7174083.438,1202120.528,0,green,25
20,7174083.438,1201972.028,0,green,25
21,7173885.493,1202655.91,0,green,
22,7173885.493,1202649.712,0,green,
23,7173885.493,1202643.306,0,green,
24,7173885.493,1202637.65,0,green,
25,7173885.493,1202631.91,0,green,
26,7173885.493,1202625.712,0,green,
27,7173885.493,1202619.306,0,green,
28,7173885.493,1202613.65,0,green,
29,7173885.493,1202607.91,0,green,
30,7173885.493,1202601.712,0,green,
31,7173889.097,1202601.65,0,green,
32,7173889.097,1202607.306,0,green,
33,7173889.097,1202613.712,0,green,
34,7173889.097,1202619.91,0,green,
35,7173889.097,1202625.65,0,green,
36,7173889.097,1202631.306,0,green,
37,7173889.097,1202637.712,0,green,
38,7173889.097,1202643.91,0,green,
39,7173889.097,1202649.65,0,green,
40,7173889.097,1202655.306,0,green,
