"id","e","n"
"117331","1202432.35","7173603.804"
"117332","1202432.35","7173638.479"
"117333","1202432.35","7173673.165"
"117334","1202432.35","7173706.71"
"117335","1202432.35","7173740.255"
"117336","1202432.35","7173774.931"
"117337","1202432.35","7173809.616"
"117338","1202432.35","7173844.291"
"117339","1202432.35","7173871.388"
"116883","1201838.35","7174086.1"
"116884","1201838.35","7174119.66"
"116882","1201838.35","7174052.55"
"116881","1201838.35","7174017.87"
"116880","1201838.35","7173983.19"
"116879","1201838.35","7173948.5"
"116878","1201838.35","7173921.41"
"116894","1201838.35","7173706.71"
"116889","1201838.35","7173542.01"
"116950","1201927.45","7174119.66"
"117015","1202016.55","7174086.1"
"117080","1202105.65","7174052.55"
"117145","1202194.75","7174017.87"
"117210","1202283.85","7173983.19"
"117267","1202343.25","7173673.16"
"117404","1202521.45","7173844.294"
"117469","1202610.55","7173809.621"
"117534","1202699.65","7173774.932"
"117599","1202788.75","7173740.257"
"117664","1202877.85","7173706.71"
"117729","1202966.95","7173673.16"
"117794","1203056.05","7173638.47"
"117859","1203145.15","7173603.79"
"117925","1203234.25","7173603.79"
"118027","1203382.75","7174086.1"
"118038","1203382.75","7173706.71"
"117989","1203323.35","7173542.01"
"117340","1202462.05","7173921.441"
"117341","1202462.05","7173948.526"
"117342","1202462.05","7173983.209"
"117343","1202462.05","7174017.883"
"117344","1202462.05","7174052.556"
"117345","1202462.05","7174086.1"
"117346","1202462.05","7174119.654"
"117347","1202462.05","7174154.327"
"117348","1202462.05","7174189.001"
"117349","1202462.05","7174223.684"
"117350","1202462.05","7174250.769"
"117351","1202462.05","7173542.027"
"117353","1202462.05","7173603.801"
"117354","1202462.05","7173638.477"
"117355","1202462.05","7173673.163"
"117356","1202462.05","7173706.71"
"117357","1202462.05","7173740.257"
"117358","1202462.05","7173774.933"
"117359","1202462.05","7173809.619"
"117360","1202462.05","7173844.296"
"117361","1202462.05","7173871.393"
"117362","1202491.75","7173921.447"
"117363","1202491.75","7173948.531"
"117364","1202491.75","7173983.213"
"117365","1202491.75","7174017.885"
"117366","1202491.75","7174052.558"
"117367","1202491.75","7174086.1"
"117368","1202491.75","7174119.652"
